id,original_question,original_answer,clean_question,clean_answer,combined_text,entities,intent,source,url,text_length,word_count,entity_count,processed_at
13,What are the early warning signs of liver disease?,"Early warning signs of liver disease may include headache, loss of taste. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign disease,early warning sign disease include headache loss taste symptom develop gradually suddenly depending individual case,early warning sign disease early warning sign disease include headache loss taste symptom develop gradually suddenly depending individual case,"{'diseases': [], 'symptoms': ['headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,142,19,1,2025-07-19T20:32:56.915552
14,What signs should I look for with allergies?,"Common signs of allergies include nausea, sweating, abdominal pain. If you experience nausea along with other symptoms, seek medical attention promptly.",sign look allergy,common sign allergy include nausea sweating abdominal pain experience nausea symptom seek medical attention promptly,sign look allergy common sign allergy include nausea sweating abdominal pain experience nausea symptom seek medical attention promptly,"{'diseases': [], 'symptoms': ['abdominal pain', 'nausea', 'sweating'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,134,18,3,2025-07-19T20:32:56.916107
15,How does allergies present in patients?,"allergies typically presents with symptoms such as loss of taste, cough. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",allergy present patient,allergy typically present symptom loss taste cough early recognition symptom crucial timely medical intervention better outcome,allergy present patient allergy typically present symptom loss taste cough early recognition symptom crucial timely medical intervention better outcome,"{'diseases': [], 'symptoms': ['cough'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,151,19,1,2025-07-19T20:32:56.916708
16,What are the early warning signs of diabetes?,"Early warning signs of diabetes may include abdominal pain, loss of taste, headache. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign diabetes,early warning sign diabetes include abdominal pain loss taste headache symptom develop gradually suddenly depending individual case,early warning sign diabetes early warning sign diabetes include abdominal pain loss taste headache symptom develop gradually suddenly depending individual case,"{'diseases': ['diabetes'], 'symptoms': ['abdominal pain', 'headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,159,21,3,2025-07-19T20:32:56.917359
17,What signs should I look for with common cold?,"Common signs of common cold include body aches, fatigue, sore throat. If you experience body aches along with other symptoms, seek medical attention promptly.",sign look common cold,common sign common cold include body ache fatigue sore throat experience body ache symptom seek medical attention promptly,sign look common cold common sign common cold include body ache fatigue sore throat experience body ache symptom seek medical attention promptly,"{'diseases': ['common cold'], 'symptoms': ['sore throat', 'fatigue'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,144,22,3,2025-07-19T20:32:56.917984
18,What are the early warning signs of asthma?,"Early warning signs of asthma may include constipation, diarrhea. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign asthma,early warning sign asthma include constipation diarrhea symptom develop gradually suddenly depending individual case,early warning sign asthma early warning sign asthma include constipation diarrhea symptom develop gradually suddenly depending individual case,"{'diseases': ['asthma'], 'symptoms': ['diarrhea', 'constipation'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,142,18,3,2025-07-19T20:32:56.918573
19,What signs should I look for with flu?,"Common signs of flu include sore throat, vomiting. If you experience sore throat along with other symptoms, seek medical attention promptly.",sign look flu,common sign flu include sore throat vomiting experience sore throat symptom seek medical attention promptly,sign look flu common sign flu include sore throat vomiting experience sore throat symptom seek medical attention promptly,"{'diseases': ['flu'], 'symptoms': ['sore throat', 'vomiting'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,121,18,3,2025-07-19T20:32:56.919123
20,What are the symptoms of tuberculosis?,"The main symptoms of tuberculosis include chills, joint pain. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom tuberculosis,main symptom tuberculosis include chill joint pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom tuberculosis main symptom tuberculosis include chill joint pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['tuberculosis'], 'symptoms': ['joint pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,167,20,2,2025-07-19T20:32:56.919769
22,How does hepatitis present in patients?,"hepatitis typically presents with symptoms such as muscle pain, headache. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",hepatitis present patient,hepatitis typically present symptom muscle pain headache early recognition symptom crucial timely medical intervention better outcome,hepatitis present patient hepatitis typically present symptom muscle pain headache early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['hepatitis'], 'symptoms': ['muscle pain', 'headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,159,19,3,2025-07-19T20:32:56.920954
23,What signs should I look for with arthritis?,"Common signs of arthritis include constipation, itching, swelling. If you experience constipation along with other symptoms, seek medical attention promptly.",sign look arthritis,common sign arthritis include constipation itching swelling experience constipation symptom seek medical attention promptly,sign look arthritis common sign arthritis include constipation itching swelling experience constipation symptom seek medical attention promptly,"{'diseases': ['arthritis'], 'symptoms': ['swelling', 'constipation', 'itching'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,143,17,4,2025-07-19T20:32:56.921494
24,What signs should I look for with allergies?,"Common signs of allergies include body aches, abdominal pain, cough. If you experience body aches along with other symptoms, seek medical attention promptly.",sign look allergy,common sign allergy include body ache abdominal pain cough experience body ache symptom seek medical attention promptly,sign look allergy common sign allergy include body ache abdominal pain cough experience body ache symptom seek medical attention promptly,"{'diseases': [], 'symptoms': ['abdominal pain', 'cough'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,137,20,2,2025-07-19T20:32:56.922107
25,How does heart disease present in patients?,"heart disease typically presents with symptoms such as joint pain, bleeding. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",heart disease present patient,heart disease typically present symptom joint pain bleeding early recognition symptom crucial timely medical intervention better outcome,heart disease present patient heart disease typically present symptom joint pain bleeding early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['heart disease'], 'symptoms': ['joint pain', 'bleeding'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,166,21,3,2025-07-19T20:32:56.922737
27,What signs should I look for with hepatitis?,"Common signs of hepatitis include back pain, headache. If you experience back pain along with other symptoms, seek medical attention promptly.",sign look hepatitis,common sign hepatitis include back pain headache experience back pain symptom seek medical attention promptly,sign look hepatitis common sign hepatitis include back pain headache experience back pain symptom seek medical attention promptly,"{'diseases': ['hepatitis'], 'symptoms': ['back pain', 'headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,129,18,3,2025-07-19T20:32:56.923860
28,What are the early warning signs of cancer?,"Early warning signs of cancer may include bleeding, loss of taste. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign cancer,early warning sign cancer include bleeding loss taste symptom develop gradually suddenly depending individual case,early warning sign cancer early warning sign cancer include bleeding loss taste symptom develop gradually suddenly depending individual case,"{'diseases': ['cancer'], 'symptoms': ['bleeding'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,140,19,2,2025-07-19T20:32:56.924421
29,What are the early warning signs of dengue?,"Early warning signs of dengue may include fever, headache. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign dengue,early warning sign dengue include fever headache symptom develop gradually suddenly depending individual case,early warning sign dengue early warning sign dengue include fever headache symptom develop gradually suddenly depending individual case,"{'diseases': ['dengue'], 'symptoms': ['fever', 'headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,135,18,3,2025-07-19T20:32:56.925018
30,What are the symptoms of influenza?,"The main symptoms of influenza include shortness of breath, abdominal pain. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom influenza,main symptom influenza include shortness abdominal pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom influenza main symptom influenza include shortness abdominal pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['flu', 'influenza'], 'symptoms': ['abdominal pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,169,20,3,2025-07-19T20:32:56.925711
31,What are the symptoms of stroke?,"The main symptoms of stroke include sore throat, shortness of breath. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom stroke,main symptom stroke include sore throat shortness breath symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom stroke main symptom stroke include sore throat shortness breath symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['stroke'], 'symptoms': ['sore throat'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,167,21,2,2025-07-19T20:32:56.926409
32,How does common cold present in patients?,"common cold typically presents with symptoms such as rash, shortness of breath. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",common cold present patient,common cold typically present symptom rash shortness breath early recognition symptom crucial timely medical intervention better outcome,common cold present patient common cold typically present symptom rash shortness breath early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['common cold'], 'symptoms': ['rash'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,164,21,2,2025-07-19T20:32:56.927079
33,What are the symptoms of tuberculosis?,"The main symptoms of tuberculosis include chest pain, loss of smell. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom tuberculosis,main symptom tuberculosis include chest pain loss smell symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom tuberculosis main symptom tuberculosis include chest pain loss smell symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['tuberculosis'], 'symptoms': ['chest pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,172,21,2,2025-07-19T20:32:56.927752
34,What signs should I look for with hypertension?,"Common signs of hypertension include back pain, neck pain. If you experience back pain along with other symptoms, seek medical attention promptly.",sign look hypertension,common sign hypertension include back pain neck pain experience back pain symptom seek medical attention promptly,sign look hypertension common sign hypertension include back pain neck pain experience back pain symptom seek medical attention promptly,"{'diseases': ['hypertension'], 'symptoms': ['neck pain', 'back pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,136,19,3,2025-07-19T20:32:56.928375
35,What are the early warning signs of influenza?,"Early warning signs of influenza may include rash, swelling, abdominal pain. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign influenza,early warning sign influenza include rash swelling abdominal pain symptom develop gradually suddenly depending individual case,early warning sign influenza early warning sign influenza include rash swelling abdominal pain symptom develop gradually suddenly depending individual case,"{'diseases': ['flu', 'influenza'], 'symptoms': ['swelling', 'abdominal pain', 'rash'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,155,20,5,2025-07-19T20:32:56.929048
36,What are the early warning signs of malaria?,"Early warning signs of malaria may include shortness of breath, swelling, itching. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign malaria,early warning sign malaria include shortness breath swelling itching symptom develop gradually suddenly depending individual case,early warning sign malaria early warning sign malaria include shortness breath swelling itching symptom develop gradually suddenly depending individual case,"{'diseases': ['malaria'], 'symptoms': ['swelling', 'itching'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,156,20,3,2025-07-19T20:32:56.929713
37,What signs should I look for with cancer?,"Common signs of cancer include sore throat, joint pain. If you experience sore throat along with other symptoms, seek medical attention promptly.",sign look cancer,common sign cancer include sore throat joint pain experience sore throat symptom seek medical attention promptly,sign look cancer common sign cancer include sore throat joint pain experience sore throat symptom seek medical attention promptly,"{'diseases': ['cancer'], 'symptoms': ['sore throat', 'joint pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,129,19,3,2025-07-19T20:32:56.930246
38,How does arthritis present in patients?,"arthritis typically presents with symptoms such as runny nose, shortness of breath. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",arthritis present patient,arthritis typically present symptom runny nose shortness breath early recognition symptom crucial timely medical intervention better outcome,arthritis present patient arthritis typically present symptom runny nose shortness breath early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['arthritis'], 'symptoms': ['runny nose'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,166,20,2,2025-07-19T20:32:56.930922
39,What are the symptoms of hypertension?,"The main symptoms of hypertension include loss of smell, body aches. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom hypertension,main symptom hypertension include loss smell body ache symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom hypertension main symptom hypertension include loss smell body ache symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['hypertension'], 'symptoms': [], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,171,21,1,2025-07-19T20:32:56.931602
40,How does sars-cov-2 present in patients?,"sars-cov-2 typically presents with symptoms such as chills, back pain. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",present patient,typically present symptom chill back pain early recognition symptom crucial timely medical intervention better outcome,present patient typically present symptom chill back pain early recognition symptom crucial timely medical intervention better outcome,"{'diseases': [], 'symptoms': ['back pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,134,17,1,2025-07-19T20:32:56.932239
41,What are the symptoms of bronchitis?,"The main symptoms of bronchitis include joint pain, shortness of breath, muscle pain. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom bronchitis,main symptom bronchitis include joint pain shortness breath muscle pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom bronchitis main symptom bronchitis include joint pain shortness breath muscle pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['bronchitis'], 'symptoms': ['joint pain', 'muscle pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,186,23,3,2025-07-19T20:32:56.932998
42,What signs should I look for with depression?,"Common signs of depression include shortness of breath, back pain, fatigue. If you experience shortness of breath along with other symptoms, seek medical attention promptly.",sign look depression,common sign depression include shortness breath back pain fatigue experience shortness breath symptom seek medical attention promptly,sign look depression common sign depression include shortness breath back pain fatigue experience shortness breath symptom seek medical attention promptly,"{'diseases': ['depression'], 'symptoms': ['back pain', 'fatigue'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,154,20,3,2025-07-19T20:32:56.933689
43,What are the symptoms of diabetes?,"The main symptoms of diabetes include loss of smell, runny nose. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom diabetes,main symptom diabetes include loss smell runny nose symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom diabetes main symptom diabetes include loss smell runny nose symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['diabetes'], 'symptoms': ['runny nose'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,164,21,2,2025-07-19T20:32:56.934374
44,What signs should I look for with migraine?,"Common signs of migraine include joint pain, dizziness. If you experience joint pain along with other symptoms, seek medical attention promptly.",sign look migraine,common sign migraine include joint pain dizziness experience joint pain symptom seek medical attention promptly,sign look migraine common sign migraine include joint pain dizziness experience joint pain symptom seek medical attention promptly,"{'diseases': ['migraine'], 'symptoms': ['dizziness', 'joint pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,130,18,3,2025-07-19T20:32:56.934944
46,What signs should I look for with malaria?,"Common signs of malaria include dizziness, nausea, bleeding. If you experience dizziness along with other symptoms, seek medical attention promptly.",sign look malaria,common sign malaria include dizziness nausea bleeding experience dizziness symptom seek medical attention promptly,sign look malaria common sign malaria include dizziness nausea bleeding experience dizziness symptom seek medical attention promptly,"{'diseases': ['malaria'], 'symptoms': ['nausea', 'dizziness', 'bleeding'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,132,17,4,2025-07-19T20:32:56.935990
47,What are the symptoms of anxiety?,"The main symptoms of anxiety include runny nose, loss of smell. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom anxiety,main symptom anxiety include runny nose loss smell symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom anxiety main symptom anxiety include runny nose loss smell symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['anxiety'], 'symptoms': ['runny nose'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,162,21,2,2025-07-19T20:32:56.936678
48,How does kidney disease present in patients?,"kidney disease typically presents with symptoms such as sore throat, chills, diarrhea. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",kidney disease present patient,kidney disease typically present symptom sore throat chill diarrhea early recognition symptom crucial timely medical intervention better outcome,kidney disease present patient kidney disease typically present symptom sore throat chill diarrhea early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['kidney disease'], 'symptoms': ['sore throat', 'diarrhea'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,175,22,3,2025-07-19T20:32:56.937413
49,What signs should I look for with malaria?,"Common signs of malaria include back pain, nausea, headache. If you experience back pain along with other symptoms, seek medical attention promptly.",sign look malaria,common sign malaria include back pain nausea headache experience back pain symptom seek medical attention promptly,sign look malaria common sign malaria include back pain nausea headache experience back pain symptom seek medical attention promptly,"{'diseases': ['malaria'], 'symptoms': ['nausea', 'back pain', 'headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,132,19,4,2025-07-19T20:32:56.938005
50,What are the early warning signs of malaria?,"Early warning signs of malaria may include joint pain, chest pain. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign malaria,early warning sign malaria include joint pain chest pain symptom develop gradually suddenly depending individual case,early warning sign malaria early warning sign malaria include joint pain chest pain symptom develop gradually suddenly depending individual case,"{'diseases': ['malaria'], 'symptoms': ['chest pain', 'joint pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,144,20,3,2025-07-19T20:32:56.938665
51,What are the symptoms of liver disease?,"The main symptoms of liver disease include vomiting, muscle pain. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom disease,main symptom liver disease include vomiting muscle pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom disease main symptom liver disease include vomiting muscle pain symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['liver disease'], 'symptoms': ['vomiting', 'muscle pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,167,21,3,2025-07-19T20:32:56.939453
52,What are the symptoms of dengue?,"The main symptoms of dengue include runny nose, muscle pain, sweating. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom dengue,main symptom dengue include runny nose muscle pain sweating symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom dengue main symptom dengue include runny nose muscle pain sweating symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['dengue'], 'symptoms': ['sweating', 'muscle pain', 'runny nose'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,170,22,4,2025-07-19T20:32:56.940163
53,What are the symptoms of common cold?,"The main symptoms of common cold include rash, diarrhea. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom common cold,main symptom common cold include rash diarrhea symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom common cold main symptom common cold include rash diarrhea symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['common cold'], 'symptoms': ['diarrhea', 'rash'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,162,21,3,2025-07-19T20:32:56.940789
54,How does coronavirus present in patients?,"coronavirus typically presents with symptoms such as body aches, headache. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",present patient,typically present symptom body ache headache early recognition symptom crucial timely medical intervention better outcome,present patient typically present symptom body ache headache early recognition symptom crucial timely medical intervention better outcome,"{'diseases': [], 'symptoms': ['headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,137,17,1,2025-07-19T20:32:56.941364
55,What signs should I look for with flu?,"Common signs of flu include loss of taste, joint pain, sore throat. If you experience loss of taste along with other symptoms, seek medical attention promptly.",sign look flu,common sign flu include loss taste joint pain sore throat experience loss taste symptom seek medical attention promptly,sign look flu common sign flu include loss taste joint pain sore throat experience loss taste symptom seek medical attention promptly,"{'diseases': ['flu'], 'symptoms': ['sore throat', 'joint pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,133,21,3,2025-07-19T20:32:56.941976
